M,N,K,q_dtype_w
1,1536,7168,torch.float8_e4m3fn
16,1536,7168,torch.float8_e4m3fn
64,1536,7168,torch.float8_e4m3fn
128,1536,7168,torch.float8_e4m3fn
256,1536,7168,torch.float8_e4m3fn
512,1536,7168,torch.float8_e4m3fn
1024,1536,7168,torch.float8_e4m3fn
2048,1536,7168,torch.float8_e4m3fn
4096,1536,7168,torch.float8_e4m3fn
1,4608,7168,torch.float8_e4m3fn
16,4608,7168,torch.float8_e4m3fn
64,4608,7168,torch.float8_e4m3fn
128,4608,7168,torch.float8_e4m3fn
256,4608,7168,torch.float8_e4m3fn
512,4608,7168,torch.float8_e4m3fn
1024,4608,7168,torch.float8_e4m3fn
2048,4608,7168,torch.float8_e4m3fn
4096,4608,7168,torch.float8_e4m3fn
1,512,7168,torch.float8_e4m3fn
16,512,7168,torch.float8_e4m3fn
64,512,7168,torch.float8_e4m3fn
128,512,7168,torch.float8_e4m3fn
256,512,7168,torch.float8_e4m3fn
512,512,7168,torch.float8_e4m3fn
1024,512,7168,torch.float8_e4m3fn
2048,512,7168,torch.float8_e4m3fn
4096,512,7168,torch.float8_e4m3fn
1,576,7168,torch.float8_e4m3fn
16,576,7168,torch.float8_e4m3fn
64,576,7168,torch.float8_e4m3fn
128,576,7168,torch.float8_e4m3fn
256,576,7168,torch.float8_e4m3fn
512,576,7168,torch.float8_e4m3fn
1024,576,7168,torch.float8_e4m3fn
2048,576,7168,torch.float8_e4m3fn
4096,576,7168,torch.float8_e4m3fn
1,7168,2304,torch.float8_e4m3fn
16,7168,2304,torch.float8_e4m3fn
64,7168,2304,torch.float8_e4m3fn
128,7168,2304,torch.float8_e4m3fn
256,7168,2304,torch.float8_e4m3fn
512,7168,2304,torch.float8_e4m3fn
1024,7168,2304,torch.float8_e4m3fn
2048,7168,2304,torch.float8_e4m3fn
4096,7168,2304,torch.float8_e4m3fn
1,7168,256,torch.float8_e4m3fn
16,7168,256,torch.float8_e4m3fn
64,7168,256,torch.float8_e4m3fn
128,7168,256,torch.float8_e4m3fn
256,7168,256,torch.float8_e4m3fn
512,7168,256,torch.float8_e4m3fn
1024,7168,256,torch.float8_e4m3fn
2048,7168,256,torch.float8_e4m3fn
4096,7168,256,torch.float8_e4m3fn
